Gene	ORF_length	inframe_cov	inframe_count	shift_plus_cov	shift_plus_count	shift_minus_cov	shift_minus_count	RNA_seq_cov	RNA_seq_count
ACAT2_NM_001303253	1481	0.23	3	0	0	0	0	NA	NA
ACBD3_NM_022735	1787	0.13	2	0	0	0	0	NA	NA
ACBD4_NM_001135704	1226	0.19	2	0	0	0.1	1	NA	NA
ACE2_NM_021804	2618	0.04	1	0	0	0	0	NA	NA
ACE_NM_000789	4121	0.03	1	0	0	0	0	NA	NA
ACKR2_NM_001296	1355	0.09	1	0	0	0	0	NA	NA
ACLY_NM_001303274	3668	0.06	2	0	0	0	0	NA	NA
ACMSD_NM_138326	1211	0.1	1	0.1	1	0	0	NA	NA
ACO1_NM_001278352	2870	0.22	6	0.04	1	0.07	2	NA	NA
ACO2_NM_001098	2543	0.09	2	0.04	1	0.09	2	NA	NA
ACOT13_NM_018473	623	0.47	2	0.24	1	0.71	3	NA	NA
ACOT2_NM_006821	1652	0.14	2	0	0	0	0	NA	NA
ACOX2_NM_003500	2246	0.1	2	0	0	0.05	1	NA	NA
ACP1_NM_004300	677	0.42	2	0	0	0	0	NA	NA
ACP2_NM_001610	1472	0.16	2	0	0	0	0	NA	NA
ACP5_NM_001111035	1178	0.72	8	0	0	0	0	NA	NA
ACSF2_NM_001288968	2123	0.1	2	0	0	0	0	NA	NA
ACSF3_NM_001243279	1931	0.06	1	0	0	0	0	NA	NA
ACSL1_NM_001286710	2297	1.81	44	0.24	5	0.38	8	NA	NA
ACSL3_NM_004457	2363	0.14	4	0.05	1	0.05	1	NA	NA
ACSL5_NM_016234	2420	0.09	2	0	0	0.05	1	NA	NA
ACSM1_NM_052956	1934	0.06	1	0	0	0	0	NA	NA
ACSM2A_NM_001308954	1934	0.4	7	0	0	0.06	1	NA	NA
ACSM2B_NM_182617	1934	0.4	7	0.12	2	0	0	NA	NA
ACSM3_NM_005622	1961	0.06	1	0	0	0	0	NA	NA
ACSM5_NM_017888	1940	0.11	2	0	0	0.06	1	NA	NA
ACSS2_NM_001076552	2345	0.14	3	0	0	0	0	NA	NA
ACSS3_NM_024560	2261	0.05	1	0	0	0.05	1	NA	NA
ACTA2_NM_001141945	1334	0.09	1	0	0	0	0	NA	NA
ACTB_NM_001101	1328	2.84	44	0.09	1	0.18	2	NA	NA
ACTG1_NM_001199954	1328	1.15	14	0.35	4	0.09	1	NA	NA
ACTG2_NM_001615	1331	0.09	1	0	0	0	0	NA	NA
ACTN1_NM_001130004	2945	0.15	4	0	0	0.04	1	NA	NA
ACTN4_NM_004924	2936	0.15	4	0.04	1	0.04	1	NA	NA
ACTR10_NM_018477	1454	0.08	1	0	0	0	0	NA	NA
ACTR1A_NM_005736	1331	0.09	1	0	0	0	0	NA	NA
ACTR2_NM_001005386	1400	0.25	3	0	0	0	0	NA	NA
ACTR3_NM_005721	1457	0.08	1	0	0	0	0	NA	NA
ACTR6_NM_022496	1391	0.08	1	0	0	0	0	NA	NA
ACVR1_NM_001105	1730	0.07	1	0	0	0	0	NA	NA
ACVR2A_NM_001278579	1742	0.13	2	0	0	0.06	1	NA	NA
ACVRL1_NM_000020	1712	0.07	1	0	0	0	0	NA	NA
ACY1_NM_000666	1427	0.16	2	0	0	0	0	NA	NA
ADAM10_NM_001110	2447	0.13	3	0	0	0	0	NA	NA
ADAM17_NM_003183	2675	0.08	2	0	0	0	0	NA	NA
ADAMTS17_NM_139057	3488	0.03	1	0.03	1	0	0	NA	NA
ADAMTS1_NM_006988	3104	0.1	3	0	0	0	0	NA	NA
ADAMTS9_NM_182920	6008	0.02	1	0	0	0	0	NA	NA
ADAMTSL4_NM_001288608	3494	0.03	1	0	0	0	0	NA	NA
ADAR_NM_001111	3881	0.08	3	0.03	1	0	0	NA	NA
ADD1_NM_014189	2507	0.09	2	0	0	0.04	1	NA	NA
ADD3_NM_016824	2321	0.05	1	0	0	0	0	NA	NA
ADGRA3_NM_145290	4166	0.03	1	0	0	0	0	NA	NA
ADGRE2_NM_013447	2672	0.04	1	0	0	0	0	NA	NA
ADGRE5_NM_078481	2708	0.08	2	0.04	1	0	0	NA	NA
ADGRF5_NM_001098518	4241	0.05	2	0.05	2	0	0	NA	NA
ADGRG6_NM_198569	3953	0.11	4	0.03	1	0	0	NA	NA
ADGRL2_NM_012302	4412	0.05	2	0	0	0	0	NA	NA
ADGRL4_NM_022159	2273	0.1	2	0	0	0	0	NA	NA
ADGRV1_NM_032119	19121	0.01	1	0	0	0	0	NA	NA
ADH1A_NM_000667	1328	1.51	19	0.35	4	0.18	2	NA	NA
ADH1B_NM_000668	1328	3.01	68	0.53	6	0.98	11	NA	NA
ADH1C_NM_000669	1328	1.51	17	0.18	3	0.27	3	NA	NA
ADH4_NM_001306171	1400	2.25	28	0.25	3	0.17	2	NA	NA
ADH5_NM_000671	1325	0.27	3	0	0	0.09	1	NA	NA
ADH6_NM_001102470	1328	0.27	3	0	0	0.09	1	NA	NA
ADIPOR2_NM_024551	1361	0.17	2	0	0	0	0	NA	NA
ADK_NM_006721	1289	0.28	4	0	0	0	0	NA	NA
ADRA1A_NM_033303	1628	0.07	1	0	0	0.07	1	NA	NA
ADRA2A_NM_000681	1598	0.07	1	0	0	0	0	NA	NA
ADRBK2_NM_005160	2267	0.05	1	0.05	1	0	0	NA	NA
ADRM1_NM_007002	1424	0.16	2	0.08	1	0	0	NA	NA
AEBP1_NM_001129	3677	0.03	1	0	0	0	0	NA	NA
AFG3L2_NM_006796	2594	0.04	1	0	0	0	0	NA	NA
AFMID_NM_001145526	1127	0.22	2	0	0	0	0	NA	NA
AFM_NM_001133	2000	0.61	11	0.11	2	0.11	2	NA	NA
AGA_NM_000027	1241	0.48	5	0	0	0.1	1	NA	NA
AGL_NM_000028	4799	0.02	1	0	0	0	0	NA	NA
AGMAT_NM_024758	1259	0.19	2	0	0	0	0	NA	NA
AGMO_NM_001004320	1538	0.22	4	0.15	2	0	0	NA	NA
AGPAT2_NM_006412	1037	0.12	1	0	0	0	0	NA	NA
AGRN_NM_198576	6338	0.05	3	0	0	0	0	NA	NA
AGTR1_NM_031850	1385	0.08	1	0	0	0	0	NA	NA
AGT_NM_000029	1658	4.94	97	0.96	14	0.82	13	NA	NA
AGXT2_NM_031900	1745	0.26	4	0	0	0.06	1	NA	NA
AGXT_NM_000030	1379	0.93	12	0.08	1	0.25	4	NA	NA
AHCYL1_NM_006621	1793	0.06	1	0	0	0	0	NA	NA
AHCY_NM_000687	1499	0.08	1	0	0	0	0	NA	NA
AHNAK_NM_001620	17873	0.06	11	0	0	0.02	3	NA	NA
AHR_NM_001621	2747	0.16	4	0	0	0	0	NA	NA
AHSA1_NM_012111	1217	0.1	1	0	0	0	0	NA	NA
AHSG_NM_001622	1304	4.08	70	0.82	12	0.72	9	NA	NA
AIF1_NM_001623	644	0.45	2	0	0	0	0	NA	NA
AIFM1_NM_004208	2042	0.11	2	0.05	1	0.05	1	NA	NA
AIG1_NM_016108	917	0.28	2	0	0	0.28	2	NA	NA
AIMP1_NM_001142416	1211	0.1	1	0	0	0	0	NA	NA
AK2_NM_001625	920	0.42	4	0	0	0.14	1	NA	NA
AK3_NM_016282	884	0.29	2	0.15	1	0	0	NA	NA
AK4_NM_001005353	872	0.15	1	0	0	0	0	NA	NA
AKAP11_NM_016248	5906	0.04	2	0	0	0.02	1	NA	NA
AKAP12_NM_005100	5549	0.07	4	0	0	0	0	NA	NA
AKAP13_NM_006738	8654	0.01	1	0	0	0	0	NA	NA
AKAP1_NM_001242903	2912	0.18	5	0	0	0.04	1	NA	NA
AKAP8L_NM_014371	2141	0.05	1	0	0	0	0	NA	NA
AKAP9_NM_005751	11924	0.01	1	0.01	1	0	0	NA	NA
AKIRIN1_NM_024595	779	0.17	1	0	0	0	0	NA	NA
AKR1A1_NM_006066	1178	0.51	5	0	0	0.1	1	NA	NA
AKR1C1_NM_001353	1172	0.62	6	0	0	0	0	NA	NA
AKR1C2_NM_001354	1172	0.82	8	0	0	0.41	4	NA	NA
AKR1C3_NM_003739	1172	0.51	5	0	0	0	0	NA	NA
AKR1C4_NM_001818	1172	0.62	6	0.1	1	0	0	NA	NA
AKR1D1_NM_005989	1181	0.1	1	0	0	0	0	NA	NA
AKR7A2_NM_003689	1280	0.28	3	0	0	0	0	NA	NA
AKR7A3_NM_012067	1196	0.2	2	0	0	0	0	NA	NA
ALAS1_NM_001304444	2174	0.15	3	0.05	1	0.1	2	NA	NA
ALB_NM_000477	2030	23.83	3859	10.33	420	13.06	616	NA	NA
ALCAM_NM_001627	1952	0.34	6	0.11	2	0	0	NA	NA
ALDH1A1_NM_000689	1706	0.86	14	0	0	0.2	3	NA	NA
ALDH1B1_NM_000692	1754	0.26	5	0	0	0.06	1	NA	NA
ALDH1L1_NM_001270364	2939	0.33	9	0.04	1	0.07	2	NA	NA
ALDH2_NM_000690	1754	1.54	26	0.13	2	0.19	3	NA	NA
ALDH3A2_NM_001031806	1727	0.2	3	0	0	0.13	2	NA	NA
ALDH4A1_NM_003748	1892	0.77	14	0.06	1	0.06	1	NA	NA
ALDH5A1_NM_170740	1847	0.12	2	0	0	0	0	NA	NA
ALDH6A1_NM_005589	1808	1	17	0.12	2	0.12	2	NA	NA
ALDH7A1_NM_001182	1820	0.19	3	0	0	0	0	NA	NA
ALDH8A1_NM_022568	1664	0.27	4	0	0	0	0	NA	NA
ALDH9A1_NM_000696	1757	0.06	1	0.06	1	0.06	1	NA	NA
ALDOA_NM_001243177	1457	0.4	5	0.16	2	0.08	1	NA	NA
ALDOB_NM_000035	1295	2.37	45	0.55	6	0.82	9	NA	NA
ALG12_NM_024105	1667	0.07	1	0	0	0	0	NA	NA
ALG1L2_NM_001136152	848	0.15	1	0	0	0	0	NA	NA
ALG3_NM_005787	1517	0.08	1	0	0	0	0	NA	NA
ALG8_NM_024079	1781	0.13	2	0	0	0	0	NA	NA
ALKBH5_NM_017758	1385	0.08	1	0	0	0	0	NA	NA
ALPK2_NM_052947	6713	0.02	1	0	0	0	0	NA	NA
ALPL_NM_000478	1775	0.19	3	0.13	2	0	0	NA	NA
AMACR_NM_001167595	1385	0.17	2	0	0	0	0	NA	NA
AMBP_NM_001633	1259	10.48	282	1.51	16	2.17	28	NA	NA
AMDHD1_NM_152435	1481	0.23	3	0	0	0	0	NA	NA
AMFR_NM_001144	2132	0.16	3	0.05	1	0	0	NA	NA
AMN_NM_030943	1562	0.22	3	0	0	0	0	NA	NA
AMPD2_NM_001257360	2840	0.04	1	0	0	0	0	NA	NA
AMT_NM_000481	1412	0.08	1	0	0	0.08	1	NA	NA
ANAPC16_NM_001242546	533	0.3	1	0	0	0	0	NA	NA
ANAPC5_NM_016237	2468	0.04	1	0	0	0	0	NA	NA
ANGPTL3_NM_014495	1583	1.81	30	0.36	5	0.29	4	NA	NA
ANGPTL4_NM_139314	1421	0.25	3	0.08	1	0.08	1	NA	NA
ANGPTL6_NM_031917	1613	0.07	1	0	0	0	0	NA	NA
ANG_NM_001145	644	3.15	20	0.45	2	0.23	1	NA	NA
ANKFY1_NM_001257999	3836	0.03	1	0	0	0	0	NA	NA
ANKMY2_NM_020319	1526	0.08	1	0	0	0	0	NA	NA
ANKRD11_NM_001256182	8192	0.01	1	0	0	0	0	NA	NA
ANKRD12_NM_015208	6389	0.02	1	0	0	0	0	NA	NA
ANKRD17_NM_032217	8012	0.01	1	0	0	0	0	NA	NA
ANKRD36B_NM_025190	4262	0.02	1	0	0	0	0	NA	NA
ANKRD46_NM_001270379	899	0.29	2	0	0	0.14	1	NA	NA
ANKRD49_NM_017704	920	0.28	2	0	0	0	0	NA	NA
ANKRD52_NM_173595	3431	0.03	1	0	0	0	0	NA	NA
ANKRD55_NM_024669	2045	0.05	1	0	0	0	0	NA	NA
ANO1_NM_018043	3161	0.03	1	0	0	0	0	NA	NA
ANO6_NM_001204803	2996	0.11	3	0	0	0	0	NA	NA
ANP32A_NM_006305	950	0.27	2	0	0	0	0	NA	NA
ANP32C_NM_012403	905	0.14	1	0	0	0	0	NA	NA
ANP32E_NM_030920	1007	0.12	1	0	0	0	0	NA	NA
ANPEP_NM_001150	3104	0.83	27	0.17	5	0.07	2	NA	NA
ANTXR2_NM_001145794	1670	0.07	1	0	0	0	0	NA	NA
ANXA11_NM_001278408	1718	0.07	1	0	0	0	0	NA	NA
ANXA2_NM_001002858	1274	0.19	2	0	0	0	0	NA	NA
ANXA4_NM_001153	1166	0.31	4	0	0	0	0	NA	NA
ANXA6_NM_001155	2222	0.45	9	0	0	0.15	3	NA	NA
ANXA7_NM_004034	1667	0.14	2	0	0	0	0	NA	NA
AOC3_NM_003734	2492	0.09	2	0	0	0	0	NA	NA
AOX1_NM_001159	4217	0.95	41	0.1	4	0.12	5	NA	NA
AP1B1_NM_001127	3050	0.11	3	0	0	0	0	NA	NA
AP1M1_NM_001130524	1508	0.08	1	0	0	0	0	NA	NA
AP1S1_NM_001283	677	0.42	2	0	0	0	0	NA	NA
AP2A1_NM_014203	3134	0.1	3	0	0	0	0	NA	NA
AP2B1_NM_001030006	3056	0.04	1	0	0	0.04	1	NA	NA
AP2M1_NM_001025205	1502	0.08	1	0	0	0	0	NA	NA
AP2S1_NM_001301076	677	0.42	2	0	0	0	0	NA	NA
AP3D1_NM_001261826	3848	0.03	1	0	0	0	0	NA	NA
AP3M1_NM_207012	1457	0.16	2	0	0	0	0	NA	NA
APCS_NM_001639	872	4.46	56	1.34	10	0.89	6	NA	NA
APEH_NM_001640	2399	0.05	1	0	0	0	0	NA	NA
APEX1_NM_001641	1157	0.1	1	0	0	0	0	NA	NA
APH1B_NM_031301	974	0.13	1	0	0	0	0	NA	NA
API5_NM_001142930	1775	0.06	1	0	0	0	0	NA	NA
APIP_NM_015957	929	0.14	1	0	0	0	0	NA	NA
APLP2_NM_001642	2492	0.87	21	0	0	0.04	1	NA	NA
APMAP_NM_020531	1451	0.96	12	0	0	0.08	1	NA	NA
APOA1_NM_000039	1004	13.68	380	3.23	37	3.36	44	NA	NA
APOA2_NM_001643	503	14.85	216	3.3	14	5.61	27	NA	NA
APOA4_NM_000482	1391	0.08	1	0	0	0	0	NA	NA
APOA5_NM_052968	1301	1.63	21	0	0	0.18	3	NA	NA
APOB_NM_000384	13892	5.01	1121	0.84	134	1.07	159	NA	NA
APOC1_NM_001645	452	9.92	52	1.19	3	3.57	11	NA	NA
APOC2_NM_000483	506	8.17	58	1.63	7	3.27	10	NA	NA
APOC3_NM_000040	500	14.33	131	5	19	5.33	19	NA	NA
APOC4_NM_001646	584	2.6	11	0.52	2	0	0	NA	NA
APOE_NM_001302688	1232	9.3	224	1.74	24	3.1	39	NA	NA
APOF_NM_001638	1181	1.22	13	0.2	2	0.31	3	NA	NA
APOH_NM_000042	1238	10.21	267	2.12	28	3.08	42	NA	NA
APOL1_NM_145343	1445	0.8	12	0.24	3	0.4	5	NA	NA
APOL2_NM_145637	1214	0.1	1	0	0	0	0	NA	NA
APOL3_NM_145640	1409	0.17	2	0	0	0	0	NA	NA
APOL6_NM_030641	1232	0.48	5	0.1	1	0.29	3	NA	NA
APOM_NM_019101	767	1.41	9	0.18	1	0	0	NA	NA
APPBP2_NM_006380	1958	0.06	1	0	0	0	0	NA	NA
APP_NM_000484	2513	1.08	28	0.13	3	0.17	4	NA	NA
APRT_NM_000485	743	0.18	1	0	0	0	0	NA	NA
AQP11_NM_173039	1016	0.12	1	0	0	0	0	NA	NA
AQP3_NM_004925	1079	0.57	5	0	0	0	0	NA	NA
AQP9_NM_020980	1088	1.8	19	0.45	4	0.23	2	NA	NA
ARCN1_NM_001655	1736	0.13	2	0	0	0.07	1	NA	NA
AREL1_NM_001039479	2672	0.04	1	0	0	0	0	NA	NA
ARF1_NM_001024227	746	1.1	6	0	0	0	0	NA	NA
ARF3_NM_001659	746	0.37	2	0	0	0	0	NA	NA
ARF5_NM_001662	743	0.18	1	0	0	0	0	NA	NA
ARF6_NM_001663	728	0.19	1	0	0	0	0	NA	NA
ARFGAP2_NM_032389	1766	0.06	1	0	0	0	0	NA	NA
ARFGAP3_NM_014570	1751	0.19	3	0.06	1	0	0	NA	NA
ARFGEF2_NM_006420	5558	0.04	2	0	0	0	0	NA	NA
ARG1_NM_001244438	1193	1.01	11	0.1	1	0.4	4	NA	NA
ARHGAP12_NM_018287	2741	0.04	1	0.04	1	0	0	NA	NA
ARHGAP17_NM_001006634	2846	0.08	2	0	0	0.04	1	NA	NA
ARHGAP26_NM_015071	2645	0.04	1	0	0	0	0	NA	NA
ARHGAP29_NM_004815	3986	0.05	2	0	0	0	0	NA	NA
ARHGDIA_NM_001301242	1214	0.1	1	0	0	0	0	NA	NA
ARHGDIB_NM_001175	806	0.5	3	0	0	0	0	NA	NA
ARHGEF12_NM_015313	4835	0.02	1	0.02	1	0.02	1	NA	NA
ARHGEF6_NM_004840	2531	0.04	1	0	0	0	0	NA	NA
ARID1B_NM_020732	6950	0.01	1	0	0	0	0	NA	NA
ARID4A_NM_002892	3974	0.03	1	0	0	0	0	NA	NA
ARL3_NM_004311	749	0.18	1	0	0	0	0	NA	NA
ARL4A_NM_005738	803	0.17	1	0	0	0	0	NA	NA
ARL5B_NM_178815	740	0.19	1	0	0	0	0	NA	NA
ARL6IP1_NM_015161	812	0.49	3	0.33	2	0	0	NA	NA
ARL6IP4_NM_018694	1466	0.08	1	0	0	0	0	NA	NA
ARL6IP5_NM_006407	767	0.35	2	0	0	0	0	NA	NA
ARL6IP6_NM_152522	881	0.15	1	0	0	0	0	NA	NA
ARL8B_NM_018184	761	0.18	1	0	0	0	0	NA	NA
ARMC5_NM_001288767	3293	0.06	2	0	0	0	0	NA	NA
ARMT1_NM_024573	1526	0.23	3	0	0	0	0	NA	NA
ARPC1B_NM_005720	1319	0.18	2	0	0	0	0	NA	NA
ARPC2_NM_152862	1103	0.33	3	0	0	0.11	1	NA	NA
ARPC3_NM_001278556	737	0.93	5	0	0	0	0	NA	NA
ARPC4_NM_001198780	764	0.53	3	0	0	0	0	NA	NA
ARPC5L_NM_030978	662	0.22	1	0	0	0	0	NA	NA
ARPC5_NM_001270439	665	0.43	2	0.22	1	0	0	NA	NA
ARPIN_NM_182616	881	0.15	1	0	0	0	0	NA	NA
ARPP19_NM_001306191	596	0.25	1	0	0	0	0	NA	NA
ARSD_NM_001669	1982	0.11	2	0	0	0	0	NA	NA
ARSE_NM_001282628	2045	0.11	2	0	0	0.05	1	NA	NA
AR_NM_000044	2963	0.04	1	0	0	0	0	NA	NA
AS3MT_NM_020682	1328	0.18	2	0	0	0	0	NA	NA
ASAH1_NM_004315	1436	0.4	7	0	0	0	0	NA	NA
ASB13_NM_024701	1037	0.12	1	0	0	0	0	NA	NA
ASCC3_NM_006828	6809	0.02	1	0.03	2	0	0	NA	NA
ASGR1_NM_001671	1076	0.91	8	0	0	0.34	4	NA	NA
ASGR2_NM_080912	1136	1.6	15	0.11	1	0.43	4	NA	NA
ASH2L_NM_004674	2087	0.05	1	0	0	0	0	NA	NA
ASL_NM_001024943	1595	0.29	4	0	0	0	0	NA	NA
ASNA1_NM_004317	1247	0.1	1	0.1	1	0	0	NA	NA
ASPG_NM_001080464	1922	0.12	2	0	0	0	0	NA	NA
ASPH_NM_004318	2477	0.22	5	0	0	0.22	5	NA	NA
ASPN_NM_017680	1343	0.17	2	0	0	0	0	NA	NA
ASPSCR1_NM_001251888	2144	0.05	1	0	0	0	0	NA	NA
ASS1_NM_000050	1439	1.37	20	0.16	2	0.08	1	NA	NA
ATAD1_NM_032810	1286	0.18	2	0	0	0	0	NA	NA
ATAD2B_NM_017552	4577	0.02	1	0	0	0	0	NA	NA
ATF6_NM_007348	2213	0.1	2	0.05	1	0.05	1	NA	NA
ATF7IP_NM_181352	4037	0.03	1	0	0	0	0	NA	NA
ATL3_NM_015459	1826	0.18	3	0	0	0	0	NA	NA
ATMIN_NM_015251	2672	0.04	1	0	0	0	0	NA	NA
ATOX1_NM_004045	407	0.48	1	0	0	0	0	NA	NA
ATP11A_NM_032189	3776	0.06	2	0	0	0	0	NA	NA
ATP11B_NM_014616	3734	0.03	1	0	0	0	0	NA	NA
ATP11C_NM_173694	3599	0.06	2	0	0	0.03	1	NA	NA
ATP13A3_NM_024524	3881	0.08	3	0	0	0	0	NA	NA
ATP1A1_NM_001160233	3272	0.39	12	0.1	3	0.03	1	NA	NA
ATP1B1_NM_001677	1112	0.44	4	0	0	0	0	NA	NA
ATP1B3_NM_001679	1040	0.12	1	0	0	0	0	NA	NA
ATP2A2_NM_170665	3329	0.13	4	0.03	1	0	0	NA	NA
ATP2B1_NM_001682	3863	0.05	2	0.03	1	0	0	NA	NA
ATP2B4_NM_001684	3818	0.08	3	0	0	0	0	NA	NA
ATP2C1_NM_001199180	3122	0.1	3	0.03	1	0	0	NA	NA
ATP5A1_NM_001001937	1862	0.72	12	0.18	3	0.18	4	NA	NA
ATP5B_NM_001686	1790	0.5	8	0	0	0.13	2	NA	NA
ATP5C1_NM_001001973	1097	0.11	1	0	0	0	0	NA	NA
ATP5D_NM_001687	707	0.2	1	0	0	0	0	NA	NA
ATP5E_NM_006886	356	1.28	4	0.64	1	0.64	1	NA	NA
ATP5F1_NM_001688	971	0.13	1	0	0	0.13	1	NA	NA
ATP5G2_NM_005176	797	0.17	1	0	0	0.17	1	NA	NA
ATP5G3_NM_001002258	629	0.47	2	0.23	1	0	0	NA	NA
ATP5I_NM_007100	410	0.95	3	0	0	0.48	1	NA	NA
ATP5J2-PTCD1_NM_001198879	2450	0.04	1	0.04	2	0	0	NA	NA
ATP5J2_NM_004889	485	0.35	1	0	0	0	0	NA	NA
ATP5J_NM_001003701	551	0.57	2	0.28	1	0.28	1	NA	NA
ATP5L_NM_006476	512	0.32	1	0	0	0.32	1	NA	NA
ATP5O_NM_001697	842	0.16	1	0	0	0	0	NA	NA
ATP6AP1_NM_001183	1613	0.14	2	0	0	0	0	NA	NA
ATP6AP2_NM_005765	1253	0.09	1	0	0	0	0	NA	NA
ATP6V0A1_NM_001130020	2717	0.04	1	0	0	0.08	2	NA	NA
ATP6V0B_NM_001294333	986	0.13	1	0.13	1	0	0	NA	NA
ATP6V0C_NM_001694	668	0.64	4	0	0	0.21	1	NA	NA
ATP6V0D1_NM_004691	1256	0.19	2	0	0	0	0	NA	NA
ATP6V0E1_NM_003945	446	0.41	1	0	0	0	0	NA	NA
ATP6V1A_NM_001690	2054	0.11	2	0	0	0	0	NA	NA
ATP6V1B2_NM_001693	1736	0.07	1	0	0	0	0	NA	NA
ATP6V1E1_NM_001696	881	0.15	1	0	0	0	0	NA	NA
ATP6V1F_NM_001198909	644	0.23	2	0	0	0	0	NA	NA
ATP6V1G1_NM_004888	557	0.56	2	0	0	0	0	NA	NA
ATP6V1H_NM_015941	1652	0.14	2	0	0	0	0	NA	NA
ATP7A_NM_000052	4703	0.02	1	0	0	0	0	NA	NA
ATP7B_NM_000053	4598	0.02	1	0	0	0	0	NA	NA
ATP8B1_NM_005603	3956	0.03	1	0	0	0	0	NA	NA
ATPAF1_NM_022745	1256	0.09	1	0	0	0	0	NA	NA
ATPAF2_NM_145691	1070	0.11	1	0	0	0	0	NA	NA
ATPIF1_NM_016311	521	1.25	4	0	0	0	0	NA	NA
ATRAID_NM_080592	1055	0.12	1	0	0	0	0	NA	NA
ATRIP_NM_130384	2576	0.04	1	0	0	0	0	NA	NA
ATRN_NM_139321	4490	0.35	16	0	0	0	0	NA	NA
ATR_NM_001184	8135	0.01	1	0.01	1	0	0	NA	NA
ATXN10_NM_013236	1628	0.07	1	0	0	0	0	NA	NA
AURKAIP1_NM_017900	800	0.17	1	0	0	0	0	NA	NA
AURKA_NM_198433	1412	0.08	1	0	0	0	0	NA	NA
AVPR1A_NM_000706	1457	0.16	2	0	0	0.08	1	NA	NA
AXL_NM_021913	2885	0.04	1	0	0	0	0	NA	NA
AZGP1_NM_001185	1097	4.68	48	0.22	3	0.89	8	NA	NA
B2M_NM_004048	560	7.22	78	2.22	13	0.83	4	NA	NA
B3GNT2_NM_006577	1394	0.08	1	0	0	0	0	NA	NA
